"Error: This error will block the book from publishing. The error needs to be fixed in order to publish."
"Notice: This issue will not block the book from publishing and can be safely ignored as there will be no impact."
"Type","Description","Source File","Line Number","Text Preceding Warning or Error","Recommended Fix"
"Notice","W14001: Hyperlink not resolved:  C:\Users\simon\AppData\Local\Temp\69132c81-a5bd-4df5-a1fa-86dae4eeb439\cTemp\mTemp\mbp_7E6_7_C_11_1A_30_2DF_3CFC_2558_1\EPUB\text\ch061.xhtml#verse-Hebrews-11-3","","","",""
"Notice","W14001: Hyperlink not resolved:  C:\Users\simon\AppData\Local\Temp\69132c81-a5bd-4df5-a1fa-86dae4eeb439\cTemp\mTemp\mbp_7E6_7_C_11_1A_30_2DF_3CFC_2558_1\EPUB\text\ch023.xhtml#verse-Proverbs-31-10","","","",""
"Notice","W14001: Hyperlink not resolved:  C:\Users\simon\AppData\Local\Temp\69132c81-a5bd-4df5-a1fa-86dae4eeb439\cTemp\mTemp\mbp_7E6_7_C_11_1A_30_2DF_3CFC_2558_1\EPUB\text\ch027.xhtml#verse-Jeremia-23-24","","","",""
"Notice","W14001: Hyperlink not resolved:  C:\Users\simon\AppData\Local\Temp\69132c81-a5bd-4df5-a1fa-86dae4eeb439\cTemp\mTemp\mbp_7E6_7_C_11_1A_30_2DF_3CFC_2558_1\EPUB\text\ch050.xhtml#verse-2-Corinthians-11-3","","","",""
"Notice","W14001: Hyperlink not resolved:  C:\Users\simon\AppData\Local\Temp\69132c81-a5bd-4df5-a1fa-86dae4eeb439\cTemp\mTemp\mbp_7E6_7_C_11_1A_30_2DF_3CFC_2558_1\EPUB\text\ch051.xhtml#verse-Galater-4-4","","","",""
"Notice","W14001: Hyperlink not resolved:  C:\Users\simon\AppData\Local\Temp\69132c81-a5bd-4df5-a1fa-86dae4eeb439\cTemp\mTemp\mbp_7E6_7_C_11_1A_30_2DF_3CFC_2558_1\EPUB\text\ch061.xhtml#verse-Hebrews-2-14","","","",""
"Notice","W14001: Hyperlink not resolved:  C:\Users\simon\AppData\Local\Temp\69132c81-a5bd-4df5-a1fa-86dae4eeb439\cTemp\mTemp\mbp_7E6_7_C_11_1A_30_2DF_3CFC_2558_1\EPUB\text\ch048.xhtml#verse-Romans-16-20","","","",""
"Notice","W14001: Hyperlink not resolved:  C:\Users\simon\AppData\Local\Temp\69132c81-a5bd-4df5-a1fa-86dae4eeb439\cTemp\mTemp\mbp_7E6_7_C_11_1A_30_2DF_3CFC_2558_1\EPUB\text\ch057.xhtml#verse-1-Timotheus-2-11","","","",""
"Notice","W14001: Hyperlink not resolved:  C:\Users\simon\AppData\Local\Temp\69132c81-a5bd-4df5-a1fa-86dae4eeb439\cTemp\mTemp\mbp_7E6_7_C_11_1A_30_2DF_3CFC_2558_1\EPUB\text\ch051.xhtml#verse-Galater-5-17","","","",""
"Notice","W14001: Hyperlink not resolved:  C:\Users\simon\AppData\Local\Temp\69132c81-a5bd-4df5-a1fa-86dae4eeb439\cTemp\mTemp\mbp_7E6_7_C_11_1A_30_2DF_3CFC_2558_1\EPUB\text\ch048.xhtml#verse-Romans-6-12","","","",""
"Notice","W14001: Hyperlink not resolved:  C:\Users\simon\AppData\Local\Temp\69132c81-a5bd-4df5-a1fa-86dae4eeb439\cTemp\mTemp\mbp_7E6_7_C_11_1A_30_2DF_3CFC_2558_1\EPUB\text\ch061.xhtml#verse-Hebrews-12-24","","","",""
"Notice","W14001: Hyperlink not resolved:  C:\Users\simon\AppData\Local\Temp\69132c81-a5bd-4df5-a1fa-86dae4eeb439\cTemp\mTemp\mbp_7E6_7_C_11_1A_30_2DF_3CFC_2558_1\EPUB\text\ch027.xhtml#verse-Jeremia-18-10","","","",""
"Notice","W14001: Hyperlink not resolved:  C:\Users\simon\AppData\Local\Temp\69132c81-a5bd-4df5-a1fa-86dae4eeb439\cTemp\mTemp\mbp_7E6_7_C_11_1A_30_2DF_3CFC_2558_1\EPUB\text\ch033.xhtml#verse-Amos-8-2","","","",""
"Notice","W14001: Hyperlink not resolved:  C:\Users\simon\AppData\Local\Temp\69132c81-a5bd-4df5-a1fa-86dae4eeb439\cTemp\mTemp\mbp_7E6_7_C_11_1A_30_2DF_3CFC_2558_1\EPUB\text\ch048.xhtml#verse-Romans-3-23","","","",""
"Notice","W14001: Hyperlink not resolved:  C:\Users\simon\AppData\Local\Temp\69132c81-a5bd-4df5-a1fa-86dae4eeb439\cTemp\mTemp\mbp_7E6_7_C_11_1A_30_2DF_3CFC_2558_1\EPUB\text\ch027.xhtml#verse-Jeremia-33-20","","","",""
"Notice","W14001: Hyperlink not resolved:  C:\Users\simon\AppData\Local\Temp\69132c81-a5bd-4df5-a1fa-86dae4eeb439\cTemp\mTemp\mbp_7E6_7_C_11_1A_30_2DF_3CFC_2558_1\EPUB\text\ch027.xhtml#verse-Jeremia-33-25","","","",""
"Notice","W14001: Hyperlink not resolved:  C:\Users\simon\AppData\Local\Temp\69132c81-a5bd-4df5-a1fa-86dae4eeb439\cTemp\mTemp\mbp_7E6_7_C_11_1A_30_2DF_3CFC_2558_1\EPUB\text\ch006.xhtml#verse-Levitikus-3-17","","","",""
"Notice","W14001: Hyperlink not resolved:  C:\Users\simon\AppData\Local\Temp\69132c81-a5bd-4df5-a1fa-86dae4eeb439\cTemp\mTemp\mbp_7E6_7_C_11_1A_30_2DF_3CFC_2558_1\EPUB\text\ch006.xhtml#verse-Levitikus-24-17","","","",""
"Notice","W14001: Hyperlink not resolved:  C:\Users\simon\AppData\Local\Temp\69132c81-a5bd-4df5-a1fa-86dae4eeb439\cTemp\mTemp\mbp_7E6_7_C_11_1A_30_2DF_3CFC_2558_1\EPUB\text\ch023.xhtml#verse-Proverbs-30-17","","","",""
"Notice","W14001: Hyperlink not resolved:  C:\Users\simon\AppData\Local\Temp\69132c81-a5bd-4df5-a1fa-86dae4eeb439\cTemp\mTemp\mbp_7E6_7_C_11_1A_30_2DF_3CFC_2558_1\EPUB\text\ch073.xhtml#verse-Sirach-3-12","","","",""
"Notice","W14001: Hyperlink not resolved:  C:\Users\simon\AppData\Local\Temp\69132c81-a5bd-4df5-a1fa-86dae4eeb439\cTemp\mTemp\mbp_7E6_7_C_11_1A_30_2DF_3CFC_2558_1\EPUB\text\ch035.xhtml#verse-Jona-1-2","","","",""
"Notice","W14001: Hyperlink not resolved:  C:\Users\simon\AppData\Local\Temp\69132c81-a5bd-4df5-a1fa-86dae4eeb439\cTemp\mTemp\mbp_7E6_7_C_11_1A_30_2DF_3CFC_2558_1\EPUB\text\ch009.xhtml#verse-Josua-24-2","","","",""
"Notice","W14001: Hyperlink not resolved:  C:\Users\simon\AppData\Local\Temp\69132c81-a5bd-4df5-a1fa-86dae4eeb439\cTemp\mTemp\mbp_7E6_7_C_11_1A_30_2DF_3CFC_2558_1\EPUB\text\ch019.xhtml#verse-Nehemia-9-7","","","",""
"Notice","W14001: Hyperlink not resolved:  C:\Users\simon\AppData\Local\Temp\69132c81-a5bd-4df5-a1fa-86dae4eeb439\cTemp\mTemp\mbp_7E6_7_C_11_1A_30_2DF_3CFC_2558_1\EPUB\text\ch051.xhtml#verse-Galater-3-8","","","",""
"Notice","W14001: Hyperlink not resolved:  C:\Users\simon\AppData\Local\Temp\69132c81-a5bd-4df5-a1fa-86dae4eeb439\cTemp\mTemp\mbp_7E6_7_C_11_1A_30_2DF_3CFC_2558_1\EPUB\text\ch009.xhtml#verse-Josua-21-43","","","",""
"Notice","W14001: Hyperlink not resolved:  C:\Users\simon\AppData\Local\Temp\69132c81-a5bd-4df5-a1fa-86dae4eeb439\cTemp\mTemp\mbp_7E6_7_C_11_1A_30_2DF_3CFC_2558_1\EPUB\text\ch023.xhtml#verse-Proverbs-10-22","","","",""
